=== HISTORY LOG STARTED ===
[2025-11-16 16:06:55] LOG | Table: Unit | ID: 23kfdnksjdnma-k23rkfewnwe2 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Unit@417e0c0a
[2025-11-16 16:10:44] LOG | Table: Unit | ID: 23kfdnksjdnma-k23rkfewnwe2 | Action: CREATE | Value: uz.nova.buildingcrm.model.entity.Unit@7e50d1ee
[2025-11-16 16:15:59] LOG | Table: Unit | ID: 23kfdnksjdnma-k23rkfewnwe2 | Action: CREATE | Value: Unit(name=Kilogramm, symbol=kg, category=WEIGHT, coefficient=1.0, active=true)
[2025-11-16 16:30:59] LOG | Table: Product | ID: 16f54982-5daa-4f8e-b62f-86cce69ec234 | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=123000.00, wholesalePrice=120000.00, barcode=423235231, brand=Shirin, active=true)
[2025-11-16 16:30:59] LOG | Table: InputProduct | ID: 44b63b80-e1f9-4695-a5d3-d475fae44acf | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=123000.00, wholesalePrice=120000.00, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@26d20eb0, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T16:30:59.116732, quantity=25, price=123000, oosPercentage=12, minStock=5)

 [2025-11-16 16:38:30] LOG | Table: Product | ID: 16f54982-5daa-4f8e-b62f-86cce69ec234 | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 16:38:30] LOG | Table: InputProduct | ID: 34b7bf80-a4a5-4480-b1e7-daebfdae3603 | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@4390f26e, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T16:38:30.535646, quantity=25, price=143000, oosPercentage=12, minStock=5)

 [2025-11-16 16:44:22] LOG | Table: Product | ID: 76b7623f-b922-4155-a906-f21aa931432f | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 16:44:22] LOG | Table: InputProduct | ID: e005cb6c-4bcb-44ed-aab1-edbbdc72e9cf | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=143000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@609eaeb2, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T16:44:22.672198, quantity=25, price=143000, oosPercentage=12, minStock=5)

 [2025-11-16 16:45:03] LOG | Table: Product | ID: 76b7623f-b922-4155-a906-f21aa931432f | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

 [2025-11-16 16:45:03] LOG | Table: InputProduct | ID: 84f3085d-f193-44df-a552-c26573febc3c | Action: CREATE | Value: InputProduct(product=Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=153000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true), warehouse=uz.nova.buildingcrm.model.entity.Warehouse@2eac6e62, supplier=Supplier(name=Shirin, phone=+998998887766, active=true), currency=UZS, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), date=2025-11-16T16:45:03.604551, quantity=25, price=153000, oosPercentage=12, minStock=5)

 [2025-11-16 18:58:52] LOG | Table: Product | ID: 4c6ea93c-1fa5-476b-8c2b-6d1b651a7118 | Action: CREATE | Value: Product(name=AirPods 3, sku=AirPods-3, unit=Unit(name=Dona, symbol=Donalik, category=PIECE, coefficient=0.1, active=true), retailPrice=123000, wholesalePrice=120000, barcode=423235231, brand=Shirin, active=true)

